City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,buala,-8.145,159.5921,80.64,85,92,9.44,SB,06/30/23
325,galle,6.0367,80.217,80.17,83,100,13.09,LK,06/30/23
326,sawtell,-30.3833,153.1,43.18,100,57,0.0,AU,06/30/23
327,binga,-17.6203,27.3414,64.24,53,60,4.03,ZW,06/30/23
328,abong mbang,3.9833,13.1833,67.59,99,83,1.99,CM,06/30/23
329,kot samaba,28.5522,70.4684,97.79,39,36,14.54,PK,06/30/23
330,lujan,-34.5703,-59.105,58.01,62,49,1.01,AR,06/30/23
331,kasongo-lunda,-6.4667,16.8167,74.97,71,99,3.58,CD,06/30/23
332,samaipata,-18.15,-63.8667,59.52,63,3,5.14,BO,06/30/23
333,cuenca,-2.8833,-78.9833,64.53,63,75,11.5,EC,06/30/23
334,sao felix do xingu,-6.6447,-51.995,83.12,56,51,2.44,BR,06/30/23
335,lagoa,39.05,-27.9833,67.5,80,60,11.56,PT,06/30/23
336,cairns,-16.9167,145.7667,70.07,97,100,9.22,AU,06/30/23
337,muros,42.7762,-9.0603,67.84,72,16,8.88,ES,06/30/23
338,tigil,57.8,158.6667,67.91,63,41,5.14,RU,06/30/23
339,san roque,36.2107,-5.3842,76.03,57,0,3.44,ES,06/30/23
340,karachi,24.9056,67.0822,87.62,66,75,18.41,PK,06/30/23
341,koboko,3.4136,30.9599,62.35,98,100,2.8,UG,06/30/23
342,harper,4.375,-7.7169,77.45,81,99,9.33,LR,06/30/23
343,iqaluit,63.7506,-68.5145,40.73,86,75,5.75,CA,06/30/23
344,herat,34.5,62.0,79.99,18,0,8.37,AF,06/30/23
345,selishche,56.8879,33.2691,55.63,97,1,7.07,RU,06/30/23
346,mandalgovi,45.7625,106.2708,68.23,45,100,6.38,MN,06/30/23
347,shelburne,44.0787,-80.2041,78.76,83,36,9.71,CA,06/30/23
348,mehamn,71.0357,27.8492,46.35,81,75,10.36,NO,06/30/23
349,clyde river,70.4692,-68.5914,39.43,87,100,8.05,CA,06/30/23
350,hambantota,6.1241,81.1185,79.93,83,92,16.84,LK,06/30/23
351,hai duong,20.9333,106.3167,86.0,86,84,9.4,VN,06/30/23
352,tobol,52.6844,62.5794,68.86,62,97,14.03,KZ,06/30/23
353,hangu,39.2489,117.7892,80.64,39,10,8.99,CN,06/30/23
354,marsh harbour,26.5412,-77.0636,82.71,71,40,3.29,BS,06/30/23
355,mweka,-4.85,21.5667,69.39,96,87,2.68,CD,06/30/23
356,skibbereen,51.55,-9.2667,59.11,90,100,20.83,IE,06/30/23
